date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0.0,0.0,0.0,2.960593318,948.9191176,69.25049758,0.0
2019-01-01 00:15:00,0.0,0.0,0.0,1.23,988.2,88.41,0.0
2019-01-01 00:30:00,0.0,0.0,0.0,1.44,921.9,83.1,0.0
2019-01-01 00:45:00,0.0,0.0,0.0,1.47,944.23,72.45,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,1.7,1015.2,87.07,0.0
2019-01-01 01:15:00,0.0,0.0,0.0,1.73,958.73,85.49,0.0
2019-01-01 01:30:00,0.0,0.0,0.0,1.9,937.63,72.31,0.0
2019-01-01 01:45:00,0.0,0.0,0.0,1.63,933.04,83.25,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,2.05,950.13,83.59,0.0
2019-01-01 02:15:00,0.0,0.0,0.0,2.1,983.98,83.17,0.0
2019-01-01 02:30:00,0.0,0.0,0.0,1.87,997.01,84.56,0.0
2019-01-01 02:45:00,0.0,0.0,0.0,2.05,922.15,79.65,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,2.15,1011.36,83.5,0.0
2019-01-01 03:15:00,0.0,0.0,0.0,2.14,1002.42,76.02,0.0
2019-01-01 03:30:00,0.0,0.0,0.0,2.11,941.2,76.74,0.0
2019-01-01 03:45:00,0.0,0.0,0.0,2.36,922.94,79.57,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,2.47,936.56,72.75,0.0
2019-01-01 04:15:00,0.0,0.0,0.0,2.32,990.32,78.08,0.0
2019-01-01 04:30:00,0.0,0.0,0.0,2.67,977.76,69.25,0.0
2019-01-01 04:45:00,0.0,0.0,0.0,2.74,963.69,79.88,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,2.69,983.82,74.99,0.0
2019-01-01 05:15:00,0.0,0.0,0.0,2.81,923.23,78.71,0.0
2019-01-01 05:30:00,0.0,0.0,0.0,2.74,975.27,81.19,0.0
2019-01-01 05:45:00,0.0,0.0,0.0,2.88,923.02,79.99,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,2.82,943.85,79.37,0.0
2019-01-01 06:15:00,0.0,0.0,0.0,3.14,997.56,81.06,0.0
2019-01-01 06:30:00,0.0,0.0,0.0,2.88,978.01,66.83,0.0
2019-01-01 06:45:00,0.0,0.0,0.0,2.99,949.59,70.95,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,3.33,944.6,67.25,0.0
2019-01-01 07:15:00,0.0,0.0,0.0,2.9,961.92,73.56,0.0
2019-01-01 07:30:00,10.29,8.95,1.34,3.21,979.79,67.56,0.41
2019-01-01 07:45:00,18.04,15.69,2.34,3.26,1012.46,76.13,0.69
2019-01-01 08:00:00,28.92,25.16,3.76,3.22,960.37,70.51,1.17
2019-01-01 08:15:00,39.83,34.65,5.18,3.09,1008.44,76.57,1.55
2019-01-01 08:30:00,49.42,43.0,6.42,3.91,939.78,67.95,2.15
2019-01-01 08:45:00,73.9,64.29,9.61,3.42,964.07,77.81,2.76
2019-01-01 09:00:00,78.83,68.58,10.25,4.25,973.33,75.54,2.71
2019-01-01 09:15:00,100.89,87.77,13.12,4.56,982.75,63.41,3.44
2019-01-01 09:30:00,96.37,83.84,12.53,5.04,975.69,69.44,4.2
2019-01-01 09:45:00,125.22,108.94,16.28,4.79,1006.54,68.01,4.05
2019-01-01 10:00:00,122.2,106.31,15.89,4.6,958.79,61.2,4.44
2019-01-01 10:15:00,151.43,131.75,19.69,5.46,972.16,60.83,4.84
2019-01-01 10:30:00,170.44,148.28,22.16,5.96,934.28,62.8,6.13
2019-01-01 10:45:00,167.47,145.7,21.77,6.59,935.17,68.59,6.39
2019-01-01 11:00:00,179.89,156.5,23.39,5.9,950.78,68.61,7.32
2019-01-01 11:15:00,183.15,159.34,23.81,5.61,956.91,70.7,6.96
2019-01-01 11:30:00,211.96,184.4,27.55,6.8,919.98,69.99,7.02
2019-01-01 11:45:00,202.6,176.26,26.34,6.35,925.02,66.05,7.27
2019-01-01 12:00:00,225.34,196.05,29.29,7.08,984.24,61.99,8.77
2019-01-01 12:15:00,220.24,191.61,28.63,6.88,999.66,63.76,8.29
2019-01-01 12:30:00,258.01,224.47,33.54,8.23,1012.84,60.4,8.08
2019-01-01 12:45:00,263.57,229.3,34.26,8.02,976.71,62.97,9.59
2019-01-01 13:00:00,267.16,232.43,34.73,7.96,925.37,56.61,9.72
2019-01-01 13:15:00,271.22,235.96,35.26,7.25,1004.44,57.68,9.66
2019-01-01 13:30:00,272.86,237.39,35.47,7.96,981.55,58.7,9.06
2019-01-01 13:45:00,236.91,206.12,30.8,8.49,944.66,59.81,9.66
2019-01-01 14:00:00,243.64,211.96,31.67,7.66,941.26,59.9,8.81
2019-01-01 14:15:00,187.23,162.89,24.34,9.03,1012.95,66.66,7.06
2019-01-01 14:30:00,171.32,149.05,22.27,7.15,979.3,63.66,7.1
2019-01-01 14:45:00,159.21,138.51,20.7,7.58,931.41,58.57,6.24
2019-01-01 15:00:00,129.13,112.34,16.79,7.45,944.89,67.16,5.24
2019-01-01 15:15:00,131.17,114.11,17.05,7.77,970.67,62.65,4.15
2019-01-01 15:30:00,110.64,96.25,14.38,7.9,969.59,65.69,3.34
2019-01-01 15:45:00,95.49,83.08,12.41,6.41,950.33,67.3,2.85
2019-01-01 16:00:00,60.19,52.36,7.82,6.17,945.93,69.12,2.2
2019-01-01 16:15:00,44.16,38.42,5.74,5.9,938.29,65.91,1.67
2019-01-01 16:30:00,31.93,27.78,4.15,5.26,978.12,77.05,1.02
2019-01-01 16:45:00,17.44,15.17,2.27,5.27,989.66,74.39,0.55
