date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0.0,0.0,0.0,4.6,862.5,40.97,0.0
2019-01-01 00:15:00,0.0,0.0,0.0,4.6,862.516,40.766667,0.0
2019-01-01 00:30:00,0.0,0.0,0.0,4.6,862.476,40.946667,0.0
2019-01-01 00:45:00,0.0,0.0,0.0,4.6,862.422,43.413333,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,1.946667,862.388667,51.386667,0.0
2019-01-01 01:15:00,0.0,0.0,0.0,2.4,862.350667,49.713333,0.0
2019-01-01 01:30:00,0.0,0.0,0.0,2.4,862.276667,49.013333,0.0
2019-01-01 01:45:00,0.0,0.0,0.0,3.353333,862.244667,47.213333,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,3.5,862.313333,49.1,0.0
2019-01-01 02:15:00,0.0,0.0,0.0,3.5,862.374667,49.646667,0.0
2019-01-01 02:30:00,0.0,0.0,0.0,3.5,862.444667,48.966667,0.0
2019-01-01 02:45:00,0.0,0.0,0.0,2.473333,862.444,50.833333,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,1.6,862.516,54.573333,0.0
2019-01-01 03:15:00,0.0,0.0,0.0,2.0,862.476,52.466667,0.0
2019-01-01 03:30:00,0.0,0.0,0.0,2.4,862.335333,53.426667,0.0
2019-01-01 03:45:00,0.0,0.0,0.0,2.4,862.268,53.18,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,2.4,862.19,53.493333,0.0
2019-01-01 04:15:00,0.0,0.0,0.0,2.4,862.082667,54.486667,0.0
2019-01-01 04:30:00,0.0,0.0,0.0,2.4,861.976,54.513333,0.0
2019-01-01 04:45:00,0.0,0.0,0.0,1.6,861.921333,55.733333,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,1.4,861.853333,56.193333,0.0
2019-01-01 05:15:00,0.0,0.0,0.0,1.4,861.762,56.3,0.0
2019-01-01 05:30:00,0.0,0.0,0.0,1.4,861.785333,57.373333,0.0
2019-01-01 05:45:00,0.0,0.0,0.0,0.813333,861.809333,60.173333,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,0.3,861.891333,62.5,0.0
2019-01-01 06:15:00,0.0,0.0,0.0,0.3,862.054,65.486667,0.0
2019-01-01 06:30:00,0.0,0.0,0.0,0.3,862.099333,64.753333,0.0
2019-01-01 06:45:00,0.0,0.0,0.0,0.3,862.276667,64.3,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,0.3,862.389333,66.186667,0.0
2019-01-01 07:15:00,0.0,0.0,0.0,0.006667,862.492,66.193333,0.0
2019-01-01 07:30:00,0.0,0.0,0.0,-0.8,862.798,68.653333,0.0
2019-01-01 07:45:00,0.0,0.0,0.0,-1.2,863.078,70.28,0.0
2019-01-01 08:00:00,0.0,0.0,0.0,-1.8,863.312,71.44,0.0
2019-01-01 08:15:00,1.2,0.933333,1.299333,-1.8,863.568,71.093333,0.0
2019-01-01 08:30:00,9.733333,7.066667,8.282667,-1.8,863.770667,71.546667,0.170667
2019-01-01 08:45:00,81.866667,21.466667,66.692,-1.333333,863.974667,70.173333,2.12
2019-01-01 09:00:00,83.8,68.2,67.829333,0.2,864.080667,64.54,4.655333
2019-01-01 09:15:00,192.4,134.4,156.228,1.0,863.786667,62.413333,7.186
2019-01-01 09:30:00,306.866667,171.133333,249.231333,2.153333,863.576,59.32,9.883333
2019-01-01 09:45:00,506.8,197.866667,411.901333,1.2,863.46,60.94,12.289333
2019-01-01 10:00:00,585.866667,245.666667,476.264,1.42,863.498667,59.46,14.256
2019-01-01 10:15:00,635.333333,282.4,516.160667,2.3,863.576,57.513333,15.846
2019-01-01 10:30:00,683.8,319.4,555.299333,2.446667,863.657333,56.746667,17.223333
2019-01-01 10:45:00,728.333333,355.266667,591.732,3.4,863.664667,53.413333,18.484
2019-01-01 11:00:00,771.733333,384.6,626.972667,4.5,863.642667,52.513333,19.693333
2019-01-01 11:15:00,814.933333,400.333333,661.78,4.5,863.522,51.34,20.728
2019-01-01 11:30:00,852.8,394.533333,692.635333,5.16,863.288,48.546667,21.544667
2019-01-01 11:45:00,896.6,376.933333,727.984667,6.04,862.952667,46.233333,22.322667
2019-01-01 12:00:00,936.6,343.0,760.844667,7.213333,862.638,43.386667,23.075333
2019-01-01 12:15:00,973.933333,297.666667,790.726,7.8,862.221333,41.8,23.678
2019-01-01 12:30:00,997.266667,246.666667,810.104667,7.8,861.792667,40.873333,24.170667
2019-01-01 12:45:00,1015.2,197.2,824.396,7.8,861.303333,39.573333,24.604
2019-01-01 13:00:00,1021.8,155.066667,829.431333,7.8,860.902,37.906667,24.699333
2019-01-01 13:15:00,1024.266667,127.666667,831.596667,7.8,860.422,35.926667,24.874667
2019-01-01 13:30:00,1022.133333,109.066667,829.972667,8.313333,860.091333,34.26,24.872667
2019-01-01 13:45:00,1008.066667,95.0,818.387333,8.9,859.686,33.48,24.564667
2019-01-01 14:00:00,991.733333,84.866667,805.179333,8.973333,859.279333,32.626667,24.314
2019-01-01 14:15:00,959.866667,77.866667,779.249333,10.0,858.968,31.013333,23.938
