date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0,0,0,0.6,1037.9,83.1,0.0
2019-01-01 00:15:00,0,0,0,0.5,1037.9,83.9,0.0
2019-01-01 00:30:00,0,0,0,0.5,1037.6,84.9,0.0
2019-01-01 00:45:00,0,0,0,0.5,1037.5,85.3,0.0
2019-01-01 01:00:00,0,0,0,0.3,1037.5,85.4,0.0
2019-01-01 01:15:00,0,0,0,0.4,1037.5,85.7,0.0
2019-01-01 01:30:00,0,0,0,0.4,1037.5,85.9,0.0
2019-01-01 01:45:00,0,0,0,0.3,1037.5,85.9,0.0
2019-01-01 02:00:00,0,0,0,0.3,1037.5,86.0,0.0
2019-01-01 02:15:00,0,0,0,0.3,1037.3,85.8,0.0
2019-01-01 02:30:00,0,0,0,0.4,1037.3,85.7,0.0
2019-01-01 02:45:00,0,0,0,0.4,1037.1,85.6,0.0
2019-01-01 03:00:00,0,0,0,0.4,1037.0,85.7,0.0
2019-01-01 03:15:00,0,0,0,0.5,1036.8,85.6,0.0
2019-01-01 03:30:00,0,0,0,0.5,1036.7,85.0,0.0
2019-01-01 03:45:00,0,0,0,0.6,1036.6,83.5,0.0
2019-01-01 04:00:00,0,0,0,0.5,1036.5,82.0,0.0
2019-01-01 04:15:00,0,0,0,0.6,1036.4,81.5,0.0
2019-01-01 04:30:00,0,0,0,0.6,1036.5,80.7,0.0
2019-01-01 04:45:00,0,0,0,0.6,1036.6,80.6,0.0
2019-01-01 05:00:00,0,0,0,0.5,1036.5,81.2,0.0
2019-01-01 05:15:00,0,0,0,0.6,1036.8,80.5,0.0
2019-01-01 05:30:00,0,0,0,0.7,1036.7,80.3,0.0
2019-01-01 05:45:00,0,0,0,0.7,1036.5,80.1,0.0
2019-01-01 06:00:00,0,0,0,0.7,1036.5,79.3,0.0
2019-01-01 06:15:00,0,0,0,0.7,1036.8,80.0,0.0
2019-01-01 06:30:00,0,0,0,0.6,1036.8,80.6,0.0
2019-01-01 06:45:00,0,0,0,0.6,1036.9,79.6,0.0
2019-01-01 07:00:00,0,0,0,0.7,1037.0,79.4,0.0
2019-01-01 07:15:00,0,0,0,0.7,1037.0,80.2,0.0
2019-01-01 07:30:00,1,0,1,0.6,1037.1,80.2,0.0
2019-01-01 07:45:00,6,0,5,0.6,1037.2,80.4,0.22
2019-01-01 08:00:00,13,0,10,0.7,1037.4,80.9,0.94
2019-01-01 08:15:00,23,0,17,0.7,1037.5,80.8,1.9
2019-01-01 08:30:00,35,0,26,0.8,1037.6,80.4,3.31
2019-01-01 08:45:00,49,0,37,0.9,1037.8,80.8,4.88
2019-01-01 09:00:00,66,0,49,1.1,1037.7,80.1,6.79
2019-01-01 09:15:00,88,0,65,1.2,1037.7,79.2,9.12
2019-01-01 09:30:00,84,0,63,1.5,1037.7,77.8,8.92
2019-01-01 09:45:00,110,0,81,1.7,1037.4,77.2,11.41
2019-01-01 10:00:00,140,0,103,1.7,1037.1,75.8,14.47
2019-01-01 10:15:00,157,0,114,1.9,1037.0,74.1,16.85
2019-01-01 10:30:00,176,0,128,2.0,1036.9,74.0,18.69
2019-01-01 10:45:00,179,0,131,2.0,1036.8,72.9,18.83
